Age,Gender,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating,CompanyExperienceShare,RoleStabilityScore,EducationBackground_grouped,EmpDepartment_grouped,EmpJobRole_grouped,CommuteCategory_Moderate,CommuteCategory_Far,MaritalStatus_Married,MaritalStatus_Single,PromotionWaitTime_Moderate,PromotionWaitTime_Long,BusinessTravelFrequency_Travel_Frequently,BusinessTravelFrequency_Travel_Rarely
32,0,10,3,4,55,3,2,4,1,0,12,4,10,2,2,10,7,0,8,0,3,1.0,0.7,Marketing,Sales,Sales Executive,True,False,False,True,False,False,False,True
47,0,14,4,4,42,3,2,1,2,0,12,4,20,2,3,7,7,1,7,0,3,0.35,1.0,Marketing,Sales,Sales Executive,True,False,False,True,False,False,False,True
40,0,5,4,4,48,2,3,1,5,1,21,3,20,2,3,18,13,1,12,0,4,0.9,0.7222222222222222,Life Sciences,Sales,Sales Executive,False,False,True,False,False,False,True,False
41,0,10,4,2,73,2,5,4,3,0,15,2,23,2,2,21,6,12,6,0,3,0.9130434782608695,0.2857142857142857,Other,SmallDepts,Manager,True,False,False,False,False,True,False,True
60,0,16,4,1,84,3,2,1,8,0,14,4,10,1,3,2,2,2,2,0,3,0.2,1.0,Marketing,Sales,Sales Executive,False,True,False,True,True,False,False,True
27,0,10,2,4,32,3,3,1,1,0,21,3,9,4,2,9,7,1,7,0,4,1.0,0.7777777777777778,Life Sciences,Development,Developer,True,False,False,False,False,False,True,False
50,0,8,4,4,54,3,1,2,7,0,15,4,4,2,3,2,2,2,2,0,3,0.5,1.0,Marketing,Sales,Sales Representative,True,False,True,False,True,False,False,True
28,1,1,2,1,67,1,1,2,7,1,13,4,10,4,3,7,7,3,7,1,3,0.7,1.0,Life Sciences,Development,Developer,False,False,False,True,True,False,False,True
36,1,8,3,1,63,4,3,1,9,0,14,1,10,2,3,8,7,0,5,0,3,0.8,0.875,Life Sciences,Development,Developer,True,False,True,False,False,False,False,False
38,1,1,3,3,81,3,3,3,4,1,14,4,10,4,4,1,0,0,0,0,3,0.1,0.0,Life Sciences,Development,Developer,False,False,False,True,False,False,False,True
44,0,24,3,1,49,1,1,3,2,0,14,3,9,5,3,5,2,1,4,0,3,0.5555555555555556,0.4,Medical,Development,Developer,False,True,False,True,False,False,False,False
47,1,3,3,4,49,3,4,3,9,1,12,4,28,2,2,22,2,11,13,0,3,0.7857142857142857,0.09090909090909091,Medical,Sales,Sales Executive,False,False,False,False,False,True,True,False
30,0,27,5,3,99,3,2,4,7,0,23,4,10,2,2,8,7,7,7,0,4,0.8,0.875,Marketing,Sales,Sales Executive,False,True,False,False,False,True,False,True
29,0,10,3,3,99,3,1,3,1,0,11,3,1,6,3,1,0,0,0,0,3,1.0,0.0,Life Sciences,Sales,Sales Representative,True,False,False,True,False,False,False,True
42,0,19,3,3,57,4,1,3,6,1,12,4,7,2,3,2,2,2,2,1,3,0.2857142857142857,1.0,Medical,Development,Developer,False,True,False,False,True,False,True,False
34,1,8,2,2,96,3,2,3,3,0,11,4,10,2,3,5,1,4,3,0,3,0.5,0.2,Medical,Development,Developer,True,False,False,True,True,False,False,True
39,1,3,3,3,44,4,2,2,9,0,15,3,12,3,1,8,3,3,6,0,3,0.6666666666666666,0.375,Other,SmallDepts,Human Resources,False,False,True,False,True,False,False,True
56,0,9,3,3,81,3,4,4,7,0,11,3,30,1,2,10,7,1,1,0,3,0.3333333333333333,0.7,Medical,Development,Developer,True,False,True,False,False,False,False,True
